config,model_name,alpha,threshold,sensitivity,specificity,youden_j,auc
Demographics,Elastic Net,0.6367179487179487,0.3570338408392856,0.8263157894736842,0.36466165413533835,0.19097744360902258,0.6244756628413137
Demographics,LDA,0.6367179487179487,0.3517400235520009,0.8210526315789474,0.36466165413533835,0.18571428571428572,0.6256430550059359
Demographics,Lasso,0.5958974358974359,0.378742584434059,0.8052631578947368,0.40601503759398494,0.21127819548872173,0.623209339137317
Demographics,Logistic Regression,0.6367179487179487,0.3556360954937191,0.8157894736842105,0.37218045112781956,0.18796992481203012,0.625959635931935
Demographics,SVM,0.6367179487179487,0.3605620209648284,0.8052631578947368,0.36466165413533835,0.16992481203007515,0.6221408785120697
Demographics,XGBoost,0.5958974358974359,0.837147057056427,0.8157894736842105,0.40977443609022557,0.22556390977443597,0.6567669172932331
Full Questionnaire,Elastic Net,0.02441025641025641,0.6911869047240123,0.8578947368421053,0.9849624060150376,0.842857142857143,0.9440838939453898
Full Questionnaire,LDA,0.02441025641025641,0.8298862737493341,0.8631578947368421,0.9774436090225563,0.8406015037593986,0.9369311436485951
Full Questionnaire,Lasso,0.02441025641025641,0.700543215853307,0.8578947368421053,0.9849624060150376,0.842857142857143,0.9427285318559556
Full Questionnaire,Logistic Regression,0.02441025641025641,0.7755582388672552,0.8526315789473684,0.9887218045112782,0.8413533834586466,0.9408092599920854
Full Questionnaire,SVM,0.02441025641025641,0.6785816793616251,0.8263157894736842,0.9774436090225563,0.8037593984962406,0.9392857142857143
Full Questionnaire,XGBoost,0.02441025641025641,0.9510366320610046,0.8526315789473684,0.9774436090225563,0.8300751879699249,0.9647012267510883
Questionnaire Only,Elastic Net,0.02441025641025641,0.7525123843192736,0.8526315789473684,0.9774436090225563,0.8300751879699249,0.925791452314998
Questionnaire Only,LDA,0.02441025641025641,0.957874100418832,0.8526315789473684,0.9774436090225563,0.8300751879699249,0.9209141274238227
Questionnaire Only,Lasso,0.02441025641025641,0.7944819913469388,0.8526315789473684,0.9774436090225563,0.8300751879699249,0.9212603878116343
Questionnaire Only,Logistic Regression,0.02441025641025641,0.7817309285373748,0.8368421052631579,0.9774436090225563,0.8142857142857143,0.9228927582113177
Questionnaire Only,SVM,0.02441025641025641,0.8079198278637186,0.8526315789473684,0.9774436090225563,0.8300751879699249,0.9248911753066879
Questionnaire Only,XGBoost,0.02441025641025641,0.965090274810791,0.8526315789473684,0.9774436090225563,0.8300751879699249,0.9299465769687376
